,,,,host_info if applicable,,,,,,sampling info if applicable,,,
sample_name,fastq_fwd_file_name,fastq_rev_file_name,sample_type,host_phylum,host_class,host_order,host_family,host_genus,host_species,collection_latitude,collection_longitude,collection_date (DD.MM.YY),collection_depth
S6-E-ST-39B,S6-E-ST-39B-ITS2_p1d12_L001_R1_001.fastq.gz,S6-E-ST-39B-ITS2_p1d12_L001_R2_001.fastq.gz,coral,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Stylophora,pistillata,N 22.26189°,E 39.04878°,07.08.2019,8-Feb
S6-P-LT-31A,S6-P-LT-31A-ITS2_p1c03_L001_R1_001.fastq.gz,S6-P-LT-31A-ITS2_p1c03_L001_R2_001.fastq.gz,coral,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Stylophora,pistillata,N 22.26302°,E 39.05165°,07.08.2019,8-Feb
S6-P-LT-33A,S6-P-LT-33A-ITS2_p1c10_L001_R1_001.fastq.gz,S6-P-LT-33A-ITS2_p1c10_L001_R2_001.fastq.gz,coral,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Stylophora,pistillata,N 22.26302°,E 39.05165°,07.08.2019,8-Feb
S6-P-LT-35A,S6-P-LT-35A-ITS2_p1d05_L001_R1_001.fastq.gz,S6-P-LT-35A-ITS2_p1d05_L001_R2_001.fastq.gz,coral,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Stylophora,pistillata,N 22.26302°,E 39.05165°,07.08.2019,8-Feb
S6-P-ST-39B,S6-P-ST-39B-ITS2_p1f02_L001_R1_001.fastq.gz,S6-P-ST-39B-ITS2_p1f02_L001_R2_001.fastq.gz,coral,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Stylophora,pistillata,N 22.26302°,E 39.05165°,07.08.2019,8-Feb
S7-E-LT-31A,S7-E-LT-31A-ITS2_p1a07_L001_R1_001.fastq.gz,S7-E-LT-31A-ITS2_p1a07_L001_R2_001.fastq.gz,coral,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Stylophora,pistillata,N 22.26189°,E 39.04878°,07.08.2019,8-Feb
S7-E-LT-33A,S7-E-LT-33A-ITS2_p1b02_L001_R1_001.fastq.gz,S7-E-LT-33A-ITS2_p1b02_L001_R2_001.fastq.gz,coral,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Stylophora,pistillata,N 22.26189°,E 39.04878°,07.08.2019,8-Feb
S7-E-LT-35A,S7-E-LT-35A-ITS2_p1b09_L001_R1_001.fastq.gz,S7-E-LT-35A-ITS2_p1b09_L001_R2_001.fastq.gz,coral,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Stylophora,pistillata,N 22.26189°,E 39.04878°,07.08.2019,8-Feb
S7-E-ST-39B,S7-E-ST-39B-ITS2_p1e01_L001_R1_001.fastq.gz,S7-E-ST-39B-ITS2_p1e01_L001_R2_001.fastq.gz,coral,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Stylophora,pistillata,N 22.26189°,E 39.04878°,07.08.2019,8-Feb
S7-P-LT-31A,S7-P-LT-31A-ITS2_p1c04_L001_R1_001.fastq.gz,S7-P-LT-31A-ITS2_p1c04_L001_R2_001.fastq.gz,coral,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Stylophora,pistillata,N 22.26302°,E 39.05165°,07.08.2019,8-Feb
