sample.ID	location	coral.species	experiment	temperature	temp.intensity	reef.site	genotype	surface.area_cm2	total.chlA.in.sample_ug	chlA_ug_cm2
S4-P-ST-33B	KAUST	Stylophora	CBASS	33	Medium	Protected	4P	3.86303904	8.901735736	2.304334914
S5-P-ST-33B	KAUST	Stylophora	CBASS	33	Medium	Protected	5P	7.43035968	27.73532733	3.732703196
S6-P-ST-33B	KAUST	Stylophora	CBASS	33	Medium	Protected	6P	3.62588448	20.41484685	5.630308125
S7-P-ST-33B	KAUST	Stylophora	CBASS	33	Medium	Protected	7P	10.65108096	27.0467027	2.539338759
S1-P-ST-36B	KAUST	Stylophora	CBASS	36	High	Protected	1P	4.85673984	13.06481682	2.690038431
S2-P-ST-36B	KAUST	Stylophora	CBASS	36	High	Protected	2P	3.5326752	10.6512973	3.015079704
S3-P-ST-36B	KAUST	Stylophora	CBASS	36	High	Protected	3P	4.94618016	13.28054054	2.685009464
S4-P-ST-36B	KAUST	Stylophora	CBASS	36	High	Protected	4P	4.50405216	6.604366366	1.466316582
S5-P-ST-36B	KAUST	Stylophora	CBASS	36	High	Protected	5P	2.22847008	8.06751952	3.620205446
S6-P-ST-36B	KAUST	Stylophora	CBASS	36	High	Protected	6P	5.501232	16.50165165	2.999628384
S7-P-ST-36B	KAUST	Stylophora	CBASS	36	High	Protected	7P	3.03067872	8.363093093	2.759478607
