sample.ID	location	coral.species	experiment	temperature	temp.intensity	reef.site	genotype	red	green	blue	replicate
S6-P-LT-31A	KAUST	Stylophora.pistillata	CLASSIC	31	Control	Protected	6P	177.6	141.2	70.65	A
S7-P-LT-31A	KAUST	Stylophora.pistillata	CLASSIC	31	Control	Protected	7P	188	152.1	73.2	A
S1-P-LT-33A	KAUST	Stylophora.pistillata	CLASSIC	33	Medium	Protected	1P	190.05	151.45	59.15	A
S2-P-LT-33A	KAUST	Stylophora.pistillata	CLASSIC	33	Medium	Protected	2P	175.5	136.05	53.1	A
S3-P-LT-33A	KAUST	Stylophora.pistillata	CLASSIC	33	Medium	Protected	3P	158.6	120.4	47.55	A
S4-P-LT-33A	KAUST	Stylophora.pistillata	CLASSIC	33	Medium	Protected	4P	173.25	124.45	31.7	A
S5-P-LT-33A	KAUST	Stylophora.pistillata	CLASSIC	33	Medium	Protected	5P	198.25	155.8	56.15	A
S6-P-LT-33A	KAUST	Stylophora.pistillata	CLASSIC	33	Medium	Protected	6P	174.15	136.75	58.15	A
S7-P-LT-33A	KAUST	Stylophora.pistillata	CLASSIC	33	Medium	Protected	7P	183.85	149.95	72.95	A
S1-P-LT-35A	KAUST	Stylophora.pistillata	CLASSIC	35	High	Protected	1P	216.4	174.3	84.35	A
S2-P-LT-35A	KAUST	Stylophora.pistillata	CLASSIC	35	High	Protected	2P	198.1	145.2	43.4	A
S3-P-LT-35A	KAUST	Stylophora.pistillata	CLASSIC	35	High	Protected	3P	174.95	122.9	40.45	A
S4-P-LT-35A	KAUST	Stylophora.pistillata	CLASSIC	35	High	Protected	4P	212	162.25	64.05	A
S5-P-LT-35A	KAUST	Stylophora.pistillata	CLASSIC	35	High	Protected	5P	227.7	175.8	80.8	A
S6-P-LT-35A	KAUST	Stylophora.pistillata	CLASSIC	35	High	Protected	6P	253.3	250.05	193.85	A
S7-P-LT-35A	KAUST	Stylophora.pistillata	CLASSIC	35	High	Protected	7P	229.6	200.25	112.8	A
