sample.ID	location	coral.species	experiment	temperature	temp.intensity	replicate.group	tank	reef.site	genotype	raw.PAM.yield	yield
S1-P-ST-30B	KAUST	Stylophora	CBASS	30	Control	B	B1	Protected	1P	488	0.488
S2-P-ST-30B	KAUST	Stylophora	CBASS	30	Control	B	B1	Protected	2P	470	0.47
S3-P-ST-30B	KAUST	Stylophora	CBASS	30	Control	B	B1	Protected	3P	438	0.438
S4-P-ST-30B	KAUST	Stylophora	CBASS	30	Control	B	B1	Protected	4P	558	0.558
S5-P-ST-30B	KAUST	Stylophora	CBASS	30	Control	B	B1	Protected	5P	540	0.54
S6-P-ST-30B	KAUST	Stylophora	CBASS	30	Control	B	B1	Protected	6P	448	0.448
S7-P-ST-30B	KAUST	Stylophora	CBASS	30	Control	B	B1	Protected	7P	507	0.507
S1-E-ST-39A	KAUST	Stylophora	CBASS	39	Extreme	A	A4	Exposed	1E	65	0.065
S2-E-ST-39A	KAUST	Stylophora	CBASS	39	Extreme	A	A4	Exposed	2E	120	0.12
S3-E-ST-39A	KAUST	Stylophora	CBASS	39	Extreme	A	A4	Exposed	3E	363	0.363
S4-E-ST-39A	KAUST	Stylophora	CBASS	39	Extreme	A	A4	Exposed	4E	20	0.02
S5-E-ST-39A	KAUST	Stylophora	CBASS	39	Extreme	A	A4	Exposed	5E	161	0.161
S6-E-ST-39A	KAUST	Stylophora	CBASS	39	Extreme	A	A4	Exposed	6E	151	0.151
S7-E-ST-39A	KAUST	Stylophora	CBASS	39	Extreme	A	A4	Exposed	7E	177	0.177
S1-E-ST-39B	KAUST	Stylophora	CBASS	39	Extreme	B	B4	Exposed	1E	36	0.036
S2-E-ST-39B	KAUST	Stylophora	CBASS	39	Extreme	B	B4	Exposed	2E	67	0.067
S3-E-ST-39B	KAUST	Stylophora	CBASS	39	Extreme	B	B4	Exposed	3E	195	0.195
S4-E-ST-39B	KAUST	Stylophora	CBASS	39	Extreme	B	B4	Exposed	4E	11	0.011
S5-E-ST-39B	KAUST	Stylophora	CBASS	39	Extreme	B	B4	Exposed	5E	42	0.042
S6-E-ST-39B	KAUST	Stylophora	CBASS	39	Extreme	B	B4	Exposed	6E	102	0.102
S7-E-ST-39B	KAUST	Stylophora	CBASS	39	Extreme	B	B4	Exposed	7E	27	0.027
S1-P-ST-39A	KAUST	Stylophora	CBASS	39	Extreme	A	A4	Protected	1P	186	0.186
S2-P-ST-39A	KAUST	Stylophora	CBASS	39	Extreme	A	A4	Protected	2P	162	0.162
S3-P-ST-39A	KAUST	Stylophora	CBASS	39	Extreme	A	A4	Protected	3P	112	0.112
S4-P-ST-39A	KAUST	Stylophora	CBASS	39	Extreme	A	A4	Protected	4P	165	0.165
